,id,name,absolute_magnitude_h,kilometers estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity kilometers_per_hour,miss_distance kilometers,orbiting_body
22,54509100,(2024 YW3),25.161,0.0551874057,False,2025-01-06,44134.7811412716,2156544.131876664,Earth
23,54514247,(2024 YY21),26.814,0.0257774515,False,2025-01-06,18817.9782385518,5560416.813516596,Earth
24,3740934,(2016 BD15),21.2,0.3420109247,True,2025-01-05,93383.3700688104,71450808.498556442,Earth
25,3753595,(2016 KO),26.5,0.0297879063,False,2025-01-05,55311.8444706586,63031190.875628856,Earth
26,3989144,(2020 BC6),20.78,0.4149922428,True,2025-01-05,79858.8370751033,3683373.936853367,Earth
27,54016969,(2020 JR),25.1,0.0567596853,False,2025-01-05,61716.286232802,47817840.018794317,Earth
28,54053914,(2020 QL7),22.1,0.2259643771,False,2025-01-05,85415.2767109278,68891337.523460926,Earth
29,54091635,(2020 WR1),24.45,0.0765667087,False,2025-01-05,82488.4967996921,71002234.961982999,Earth
30,54186208,(2021 PB23),25.58,0.0455029946,False,2025-01-05,27835.9338165981,72030480.991560573,Earth
31,54509098,(2024 YT3),26.476,0.0301189605,False,2025-01-05,25448.8592654784,4148544.30991822,Earth
32,54514251,(2025 AJ1),23.441,0.121854053,False,2025-01-05,40552.8890173326,23485302.44185637,Earth
33,54514895,(2025 AY1),23.184,0.1371639486,False,2025-01-05,60184.4545095498,13787632.397177248,Earth
34,3558373,(2011 EB7),21.03,0.3698622257,False,2025-01-04,47353.7617295234,55702115.306017428,Earth
35,3879137,(2019 TK6),22.64,0.1762138252,False,2025-01-04,37661.9172929179,40607718.033261461,Earth
36,54054327,(2020 RV6),24.8,0.0651688382,False,2025-01-04,48479.6772715723,58565088.345398764,Earth
37,54105109,(2021 AO4),27.64,0.0176213825,False,2025-01-04,54418.6532916137,2640732.672717599,Earth
38,54209222,(2021 TK13),25.4,0.0494356193,False,2025-01-04,15135.0551150266,21922798.601292673,Earth
39,54415867,(2023 XU7),24.91,0.06194981,False,2025-01-04,51508.4016463614,49287093.762428806,Earth
40,54508752,(2024 YU1),25.217,0.0537823753,False,2025-01-04,26320.2962856034,2249095.81618999,Earth
41,54511083,(2024 YL7),25.355,0.0504707756,False,2025-01-04,26177.1009519197,4879240.131186433,Earth
42,54512613,(2024 YX9),26.852,0.0253302793,False,2025-01-04,40341.0525631866,2195623.733054634,Earth
43,54513046,(2024 YG13),26.982,0.0238583266,False,2025-01-04,42465.9155361455,740137.212120079,Earth
44,54514253,(2025 AL1),22.432,0.193927759,False,2025-01-04,63510.6489133496,12972928.141715456,Earth
45,54514896,(2025 AZ1),27.519,0.0186311636,False,2025-01-04,49953.1063505555,2609350.809457923,Earth
46,54514899,(2025 AC2),25.365,0.0502388835,False,2025-01-04,22764.0675185166,3597089.475786247,Earth
47,2086878,86878 (2000 HD24),17.67,1.7379608086,False,2025-01-03,80063.4066279149,70423538.370683813,Earth
48,3406340,(2008 EM85),19.72,0.6761452148,False,2025-01-03,73844.7107224669,61062149.288218969,Earth
49,3553148,(2010 XB11),19.73,0.6730386097,False,2025-01-03,68181.7569644153,19016202.793099763,Earth
50,3645041,(2013 NC15),22.14,0.2218400624,False,2025-01-03,43417.7895268897,25616443.389347908,Earth
51,3647191,(2013 RT9),26.5,0.0297879063,False,2025-01-03,16233.9842106775,36530806.763499792,Earth
52,3837864,(2019 AS11),26.8,0.0259441818,False,2025-01-03,42708.3804730289,48375536.345338856,Earth
53,3843735,(2019 QL7),26.65,0.0277996916,False,2025-01-03,30891.5107520968,58599408.624980767,Earth
54,54016994,(2020 JH1),24.9,0.0622357573,False,2025-01-03,27131.2170953661,62796481.541460406,Earth
55,54053733,(2020 RL),25.1,0.0567596853,False,2025-01-03,31567.1914796913,40923341.609039132,Earth
56,54279762,(2022 KA),25.15,0.0554676771,False,2025-01-03,21615.6827309002,37624380.971163619,Earth
57,54336914,(2022 YS5),24.84,0.0639793729,False,2025-01-03,22540.3620976753,16708864.457056709,Earth
58,54349273,(2023 EY2),19.75,0.6668681546,False,2025-01-03,67596.5275364261,31394178.425610566,Earth
59,54507938,(2024 YL1),27.334,0.0202880347,False,2025-01-03,17221.0757075885,2356964.228021136,Earth
60,54508760,(2024 YE2),25.186,0.0545556807,False,2025-01-03,27093.5053048378,22520907.460996669,Earth
61,54511958,(2024 YC9),27.014,0.0235093152,False,2025-01-03,31294.0808265354,1306479.33812425,Earth
62,54513047,(2025 AB),27.108,0.0225133425,False,2025-01-03,41619.0744399193,153135.949384222,Earth
63,54513657,(2025 AE),25.732,0.0424267709,False,2025-01-03,60263.0396804747,6286120.134988873,Earth
64,54514029,(2025 AO),28.756,0.0105399847,False,2025-01-03,35339.0601860675,459327.199940949,Earth
65,54514893,(2025 AX1),26.81,0.0258249791,False,2025-01-03,52564.0793918155,1091366.187981988,Earth
66,2459462,459462 (2013 AY52),19.95,0.6081909854,False,2025-01-02,62720.0439275498,15830339.177169553,Earth
67,3648769,(2013 TK4),23.98,0.0950692305,False,2025-01-02,64471.3074111931,53240801.671820943,Earth
68,3656933,(2014 BM25),28.1,0.0142573883,False,2025-01-02,55213.8976234976,42733613.705436124,Earth
69,3703792,(2015 BF),26.6,0.0284472297,False,2025-01-02,92433.5572978271,72149352.401529154,Earth
70,3766462,(2017 AZ13),22.03,0.2333672878,False,2025-01-02,43194.108937252,24373499.074441156,Earth
71,3837784,(2019 AR8),25.61,0.0448786701,False,2025-01-02,82067.9308472164,66096247.494589703,Earth
72,3842769,(2019 LS1),22.43,0.1941064553,False,2025-01-02,44753.354806865,18639595.585777444,Earth
73,3843713,(2019 QS6),26.1,0.0358129403,False,2025-01-02,18369.899581269,40941595.586015893,Earth
74,3968754,(2019 YA5),26.0,0.0375007522,False,2025-01-02,45382.1604748949,41802119.066055747,Earth
75,54290366,(2022 NY1),22.52,0.1862258558,False,2025-01-02,77684.6858634263,43273967.61466496,Earth
76,54317879,(2022 UF4),24.54,0.0734581487,False,2025-01-02,41585.7391615498,57230310.206517668,Earth
77,54327895,(2022 WF2),26.33,0.0322136532,False,2025-01-02,34539.9658720083,49729029.566711414,Earth
78,54433331,(2024 GE2),27.97,0.0151370059,False,2025-01-02,17530.492898011,25623356.202202099,Earth
79,54505721,(2024 XP10),24.8,0.0651688382,False,2025-01-02,30314.6632277458,7568817.944598584,Earth
80,54507534,(2024 XB20),26.004,0.0374317368,False,2025-01-02,10221.6013776193,13658066.37012045,Earth
81,54509097,(2024 YR3),25.522,0.0467347559,False,2025-01-02,13304.2848562925,9453011.883683766,Earth
82,54511078,(2024 YF7),25.744,0.0421929585,False,2025-01-02,48848.5189200517,1938313.915635721,Earth
83,54511096,(2024 YR8),24.628,0.0705407347,False,2025-01-02,58335.4717393093,8089871.903503406,Earth
84,54512607,(2024 YR9),25.732,0.0424267709,False,2025-01-02,74668.1195669771,3348567.216768578,Earth
85,54512608,(2024 YS9),27.829,0.0161525085,False,2025-01-02,76377.2690659658,1582435.722210165,Earth
86,54513049,(2025 AC),29.031,0.0092862416,False,2025-01-02,15404.3221587505,140221.389663927,Earth
87,54514672,(2025 AO1),27.843,0.0160487044,False,2025-01-02,29199.2676708784,527693.187174357,Earth
88,54514894,(2025 AA2),26.143,0.0351107397,False,2025-01-02,48706.6358240564,1243147.693211017,Earth
89,54514901,(2025 AE2),24.545,0.0732891996,False,2025-01-02,35537.1710539924,7299011.588787517,Earth
90,2276703,276703 (2004 BL11),19.3,0.8204270649,False,2025-01-01,132867.8260078622,56197811.244134077,Earth
91,2494999,494999 (2010 JU39),19.67,0.69189466,True,2025-01-01,111054.9501997416,72644389.600385045,Earth
92,3561029,(2011 GE3),25.88,0.0396314515,False,2025-01-01,29942.4840770101,49668157.475338638,Earth
93,54169408,(2021 NT5),27.12,0.0223892723,False,2025-01-01,29518.572989176,70334863.485251963,Earth
94,54216342,(2021 VR3),18.01,1.4860724357,False,2025-01-01,34930.9576821719,42029363.541310132,Earth
95,54256791,(2022 EQ6),26.21,0.0340439527,False,2025-01-01,87773.1459338218,70563038.69861434,Earth
96,54508753,(2024 YV1),26.208,0.0340753228,False,2025-01-01,20875.5513182814,14250723.733843776,Earth
97,54508761,(2024 YD2),24.922,0.0616084069,False,2025-01-01,31568.6426263764,9147401.985409646,Earth
98,54509628,(2024 YY4),26.424,0.030848921,False,2025-01-01,14430.6962430265,1676103.96014581,Earth
99,54511954,(2024 YY8),28.67,0.0109657914,False,2025-01-01,17133.9318379418,1290794.629765804,Earth
100,54511956,(2024 YZ8),23.672,0.1095569615,False,2025-01-01,77318.9054215963,10851314.588891247,Earth
101,54511964,(2024 YJ9),27.869,0.015857692,False,2025-01-01,51064.4715130282,1264885.131389663,Earth
102,54513028,(2024 YV10),26.111,0.0356319819,False,2025-01-01,21053.0558259305,8500461.014985575,Earth
103,54514249,(2025 AG1),29.429,0.0077310766,False,2025-01-01,9522.9792065686,671023.130818162,Earth
