,id,name,absolute_magnitude_h,kilometers estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity kilometers_per_second,miss_distance kilometers,orbiting_body
0,2497113,497113 (2004 EK1),22.28,0.2079888141,False,2025-01-10,6.2743303146,29822591.974766624,Earth
1,3167343,(2003 WP7),23.45,0.1213500554,False,2025-01-10,11.7118088658,22656870.442572537,Earth
2,3684344,(2014 QK362),21.66,0.2767196367,False,2025-01-10,15.8708800141,55920536.304421982,Earth
3,3702319,(2014 YD),24.32,0.0812905344,False,2025-01-10,4.7349243182,14974808.630759458,Earth
4,3797861,(2018 BM3),21.92,0.2454934893,True,2025-01-10,22.8423958342,21814635.062783591,Earth
5,54111251,(2021 CO3),25.78,0.0414992243,False,2025-01-10,14.7232196793,68380429.875531197,Earth
6,54244187,(2022 CD),26.11,0.0356483948,False,2025-01-10,15.244067355,36194566.940699764,Earth
7,54327909,(2022 WW2),25.57,0.0457130269,False,2025-01-10,9.4348852996,48311249.368427803,Earth
8,54457674,(2024 MH2),23.5,0.1185877909,False,2025-01-10,9.5462869245,74093047.232870479,Earth
9,54458508,(2024 NA2),25.2,0.0542050786,False,2025-01-10,4.1098817456,18950130.290811325,Earth
10,54509633,(2024 YD5),26.265,0.0331925011,False,2025-01-10,7.1901886102,5778839.442537933,Earth
11,2457059,457059 (2008 EG),20.06,0.5781492662,False,2025-01-09,25.5300549643,46755732.97509564,Earth
12,3399548,(2008 AU28),24.8,0.0651688382,False,2025-01-09,10.7616544527,4811939.983897414,Earth
13,3553987,(2010 XQ69),23.3,0.130028927,False,2025-01-09,10.6316296336,42379872.577422666,Earth
14,3701880,(2014 XO7),26.8,0.0259441818,False,2025-01-09,8.9190161339,55001479.0075566,Earth
15,3878578,(2019 TL2),24.4,0.0783501764,False,2025-01-09,5.1613772387,59495075.397284429,Earth
16,3892010,(2019 UE13),25.75,0.042076536,False,2025-01-09,7.2246441634,52418994.479571977,Earth
17,54376020,(2023 OS3),27.74,0.0168282897,False,2025-01-09,3.0697814893,7617163.951999881,Earth
18,54445922,(2024 LQ1),25.51,0.0469937366,False,2025-01-09,6.3343361342,26746165.872806416,Earth
