,id,name,absolute_magnitude_h,kilometers estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity kilometers_per_second,miss_distance kilometers,orbiting_body
86,3692560,(2014 TU),25.09,0.0570216761,False,2025-01-08,7.0312838109,45581702.564580958,Earth
87,3837605,(2019 AE3),27.4,0.0196806745,False,2025-01-08,9.0801480023,40671208.925107309,Earth
88,3837820,(2019 AK10),20.87,0.3981438198,False,2025-01-08,25.685082806,46228387.61792882,Earth
89,3893856,(2019 XL),26.6,0.0284472297,False,2025-01-08,16.8547879585,46538177.43028861,Earth
90,54051133,(2020 PP5),19.12,0.8913329856,False,2025-01-08,35.2242519185,73850570.014342492,Earth
91,54104252,(2021 AL),24.7,0.0682401509,False,2025-01-08,15.5618664057,36464891.712969529,Earth
92,54104549,(2021 AN1),26.86,0.0252371308,False,2025-01-08,9.2473780111,18530659.897862357,Earth
93,54104723,(2021 AF2),25.3,0.0517654482,False,2025-01-08,8.6110621832,23597208.156123715,Earth
94,54225011,(2021 VH35),23.34,0.1276556316,False,2025-01-08,3.3035745717,62769908.890686342,Earth
95,54305021,(2022 SK2),26.5,0.0297879063,False,2025-01-08,21.2500806992,15260823.736267581,Earth
96,54329646,(2022 WD7),22.43,0.1941064553,False,2025-01-08,13.101129605,59133620.748777392,Earth
97,54384198,(2023 RA16),24.41,0.0779901901,False,2025-01-08,15.6599924667,68578044.084106375,Earth
98,54419694,(2024 AP2),24.63,0.0704757942,False,2025-01-08,14.2152333927,45297049.487840037,Earth
99,54421395,(2024 BM1),26.04,0.0368162863,False,2025-01-08,9.0808381958,4409704.357636897,Earth
100,54512616,(2024 YA10),26.173,0.0346290023,False,2025-01-08,11.9510765125,3391681.981133206,Earth
101,54513653,(2025 AD),23.901,0.0985916146,False,2025-01-08,12.5343475828,21299812.109480648,Earth
102,54514035,(2025 AT),25.752,0.0420377999,False,2025-01-08,8.4146669385,11856715.03406815,Earth
103,54515742,(2025 AO3),25.781,0.0414801176,False,2025-01-08,6.4164095885,17568841.441117666,Earth
